餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
大東夜市,Shin. Hu Su,在地嚮導 · 146 則評論 · 62 張相片,4 週前,5 顆星,
大東夜市,苏振源,在地嚮導 · 11 則評論 · 30 張相片,4 週前,5 顆星,
大東夜市,士軒黃,11 則評論 · 2 張相片,4 週前,5 顆星,
大東夜市,chihwei Hong,在地嚮導 · 17 則評論 · 8 張相片,4 週前,5 顆星,很好逛，小吃都很好吃，阿桂嬤👍👍 …
大東夜市,王秀玲,在地嚮導 · 40 則評論 · 5 張相片,4 週前,3 顆星,攤位少
大東夜市,流口水,在地嚮導 · 16 則評論 · 4 張相片,1 個月前,5 顆星,
大東夜市,小羽（玥璃喵喵喵叫）,7 則評論 · 3 張相片,1 個月前,5 顆星,單純就是很愛逛夜市
大東夜市,許靜宜,在地嚮導 · 23 則評論 · 24 張相片,1 個月前,4 顆星,
大東夜市,fon,在地嚮導 · 48 則評論 · 317 張相片,1 個月前,5 顆星,
大東夜市,凌晨,在地嚮導 · 187 則評論 · 41 張相片,1 個月前,5 顆星,超級好逛，食物很多類~~
大東夜市,王子,在地嚮導 · 61 則評論 · 1 張相片,1 個月前,4 顆星,
大東夜市,界廣（Rock）,在地嚮導 · 2 則評論 · 10 張相片,1 個月前,5 顆星,
大東夜市,徐全德 samuel syu,在地嚮導 · 16 則評論 · 2 張相片,1 個月前,4 顆星,"分家後，真的要跟以前比較起來的確是相對不好逛，但依舊值得去。
但吃的還是好吃，還是期待之後再次合一！"
大東夜市,Huang,在地嚮導 · 45 則評論 · 33 張相片,1 個月前,3 顆星,
大東夜市,林承頡,在地嚮導 · 18 則評論 · 34 張相片,1 個月前,5 顆星,
大東夜市,Jean Chen,在地嚮導 · 12 則評論 · 3 張相片,1 個月前,4 顆星,"吃的攤位很多，很豐富,缺點就是很多老闆在攤位抽菸更扯的是邊煮邊抽菸.....我就會盡量避開不買了！"
大東夜市,Nathan Younkin,在地嚮導 · 21 則評論 · 162 張相片,1 個月前,5 顆星,一切都好市場
大東夜市,vivin wu,在地嚮導 · 114 則評論 · 924 張相片,1 個月前,1 顆星,"真的不怎麼樣
可能是現在夜市就都是這樣吧
但是特別不OK的，就是鴨肉羹麵 …"
大東夜市,尤薪壹（嘉宏）,在地嚮導 · 9 則評論 · 8 張相片,1 個月前,5 顆星,
大東夜市,陳弘毅,在地嚮導 · 61 則評論 · 5 張相片,1 個月前,4 顆星,
大東夜市,徐華,"在地嚮導 · 25 則評論 · 2,291 張相片",1 個月前,1 顆星,
大東夜市,王俊傑,10 則評論 · 2 張相片,1 個月前,5 顆星,好吃的很多
大東夜市,蘇于玲,在地嚮導 · 10 則評論 · 20 張相片,1 個月前,5 顆星,喜歡吃韓國烤肉和蔥油餅，好吃好逛的夜市
大東夜市,Jouyil Kim,在地嚮導 · 12 則評論 · 12 張相片,1 個月前,5 顆星,
大東夜市,張全福,在地嚮導 · 15 則評論 · 27 張相片,1 個月前,4 顆星,
大東夜市,suwen Lin,在地嚮導 · 148 則評論 · 462 張相片,1 個月前,4 顆星,
大東夜市,Al Lu,4 則評論,1 個月前,5 顆星,
大東夜市,jiaping,在地嚮導 · 87 則評論 · 17 張相片,1 個月前,5 顆星,星期一去人潮比較還好 星期五小擠
大東夜市,Wu Cash,8 則評論 · 2 張相片,1 個月前,3 顆星,
大東夜市,JAY HUNG,在地嚮導 · 63 則評論 · 35 張相片,1 個月前,4 顆星,
大東夜市,Jiang Jiang,5 則評論 · 1 張相片,1 個月前,5 顆星,
大東夜市,Johnathan Liu,在地嚮導 · 8 則評論 · 252 張相片,1 個月前,4 顆星,"大東夜市跟大東東夜市兩相隔壁
各有特色
開車去要找停車位大不易"
大東夜市,巫婆奶奶,在地嚮導 · 9 則評論 · 50 張相片,1 個月前,5 顆星,
大東夜市,詹佩璋,5 則評論,1 個月前,4 顆星,
大東夜市,Quella,8 則評論 · 2 張相片,1 個月前,3 顆星,
大東夜市,Ni Mai梅雅妮,在地嚮導 · 28 則評論 · 90 張相片,1 個月前,5 顆星,很多吃跟很好買停車建議去公園對面的大樓有地下停車場
大東夜市,臺南市政府衛生局鄧嘉仁,"在地嚮導 · 4 則評論 · 1,436 張相片",1 個月前,5 顆星,
大東夜市,Tiểu Linh,在地嚮導 · 10 則評論 · 19 張相片,1 個月前,5 顆星,還不錯的
大東夜市,阮暐恩,在地嚮導 · 102 則評論 · 8 張相片,1 個月前,5 顆星,還不錯 但就是東西有點貴
大東夜市,jiyan Zhou,2 則評論 · 2 張相片,1 個月前,5 顆星,
大東夜市,Arviyan Wisnu,在地嚮導 · 8 則評論 · 20 張相片,1 個月前,5 顆星,這不是個壞地方
大東夜市,黃金蛋蛋,在地嚮導 · 23 則評論 · 2 張相片,1 個月前,5 顆星,
大東夜市,Liz Chang,3 則評論,1 個月前,5 顆星,
大東夜市,10 JENG,3 則評論 · 5 張相片,1 個月前,4 顆星,
大東夜市,黃展雲,9 則評論 · 1 張相片,1 個月前,1 顆星,
大東夜市,加薪,在地嚮導 · 9 則評論 · 3 張相片,1 個月前,5 顆星,
大東夜市,林宏偉,在地嚮導 · 39 則評論 · 133 張相片,1 個月前,4 顆星,
大東夜市,魯勒勒,5 則評論,1 個月前,5 顆星,"地方大，東西好吃~
台南必逛夜市~"
大東夜市,一十一,在地嚮導 · 22 則評論 · 36 張相片,1 個月前,4 顆星,白天沒有夜市，週六、日是假日農市
大東夜市,花生,在地嚮導 · 12 則評論 · 6 張相片,1 個月前,5 顆星,
大東夜市,劉昱恩,在地嚮導 · 17 則評論 · 90 張相片,1 個月前,5 顆星,
大東夜市,方為紘,在地嚮導 · 13 則評論 · 27 張相片,1 個月前,5 顆星,比起東東大夜市食物比較便宜一些
大東夜市,王森玄,,1 個月前,5 顆星,
大東夜市,黃韻華,在地嚮導 · 7 則評論 · 941 張相片,1 個月前,5 顆星,
大東夜市,史偉仁,5 則評論 · 3 張相片,1 個月前,5 顆星,好逛，素食料理也好吃
大東夜市,Ethan Wang,"在地嚮導 · 1,353 則評論 · 249 張相片",1 個月前,5 顆星,攤位變少了
大東夜市,彭進輝,在地嚮導 · 166 則評論 · 161 張相片,1 個月前,4 顆星,
大東夜市,吳雙和,在地嚮導 · 1 則評論,1 個月前,2 顆星,
大東夜市,徐世謙,在地嚮導 · 68 則評論 · 3 張相片,1 個月前,3 顆星,
大東夜市,高子承,5 則評論,1 個月前,5 顆星,不錯逛
大東夜市,Julie Chen,6 則評論,1 個月前,4 顆星,
大東夜市,Siang-ling Su,在地嚮導 · 28 則評論 · 54 張相片,1 個月前,5 顆星,食物和飲品種類多、遊戲項目也不少⋯CP值算高，老少皆宜。
大東夜市,三井壽,5 則評論,1 個月前,5 顆星,小東東夜市人偶
大東夜市,x o,5 則評論,1 個月前,5 顆星,
大東夜市,xin ning Hu,在地嚮導 · 7 則評論 · 1 張相片,1 個月前,1 顆星,"攤位少，好不容易找到喜歡吃的（麻辣臭豆腐）
到家開吃後、竟然是甜的！！！吃完還拉肚子！"
大東夜市,陳蟲蟲,在地嚮導 · 10 則評論 · 8 張相片,1 個月前,5 顆星,
大東夜市,陳慧鈺,在地嚮導 · 86 則評論 · 5 張相片,1 個月前,5 顆星,很多年輕人可以逛的攤位
大東夜市,NICK HUNG,在地嚮導 · 6 則評論 · 11 張相片,1 個月前,5 顆星,分拆後不好逛了
